stratum,label,n,auc,lo,hi
Cognitive status,CN,175,0.7840816326530612,0.709494082728982,0.8531392461290735
Cognitive status,MCI,117,0.9022248243559718,0.8364803356152489,0.9585942573750811
Cognitive status,AD,28,0.8541666666666667,0.5398601398601398,1.0
APOE ε4,ε4+,113,0.898533950617284,0.8253688509371769,0.957919564757453
APOE ε4,ε4−,177,0.7911547911547911,0.7118773428674131,0.8608985000080702
Sex,Female,152,0.8171428571428571,0.7459150050628187,0.8892014724802547
Sex,Male,168,0.9038461538461539,0.8533938963741392,0.9484844792139864
Age,≤70,108,0.8908088235294118,0.8221307663690477,0.9510821507970293
Age,70–75,105,0.8461538461538461,0.7648532774390244,0.922740524781341
Age,>75,106,0.8185792349726777,0.7289026360544218,0.895436405259904
