low,high,resolved_n,resolution_rate,resolved_accuracy,gray_zone_n,gray_zone_auc,overall_auc,overall_auc_reconciled
0.15,0.65,105,0.3281,0.8381,215,0.8193,0.8616,0.856
0.15,0.7,93,0.2906,0.871,227,0.8197,0.8633,0.8619
0.15,0.75,87,0.2719,0.8736,233,0.835,0.8693,0.8669
0.15,0.8,81,0.2531,0.8765,239,0.8266,0.8614,0.8606
0.15,0.85,66,0.2062,0.8788,254,0.8358,0.8582,0.8588
0.2,0.65,147,0.4594,0.8707,173,0.7807,0.8599,0.8581
0.2,0.7,135,0.4219,0.8963,185,0.7834,0.8606,0.8647
0.2,0.75,129,0.4031,0.8992,191,0.7958,0.863,0.867
0.2,0.8,123,0.3844,0.9024,197,0.7969,0.861,0.8658
0.2,0.85,108,0.3375,0.9074,212,0.8002,0.8556,0.8614
0.25,0.65,196,0.6125,0.8673,124,0.7395,0.8601,0.8618
0.25,0.7,184,0.575,0.8859,136,0.7331,0.8583,0.8666
0.25,0.75,178,0.5563,0.8876,142,0.7506,0.8566,0.8688
0.25,0.8,172,0.5375,0.8895,148,0.7535,0.8587,0.8685
0.25,0.85,157,0.4906,0.8917,163,0.7664,0.8582,0.8681
0.3,0.65,224,0.7,0.8438,96,0.7879,0.864,0.8647
0.3,0.7,212,0.6625,0.8585,108,0.776,0.8671,0.8705
0.3,0.75,206,0.6438,0.8592,114,0.7788,0.8638,0.8708
0.3,0.8,200,0.625,0.86,120,0.7703,0.866,0.8697
0.3,0.85,185,0.5781,0.8595,135,0.7561,0.8616,0.8661
0.35,0.65,245,0.7656,0.8367,75,0.7516,0.866,0.8648
0.35,0.7,233,0.7281,0.8498,87,0.7229,0.8705,0.8696
0.35,0.75,227,0.7094,0.8502,93,0.7344,0.8685,0.8705
0.35,0.8,221,0.6906,0.8507,99,0.7139,0.8655,0.8691
0.35,0.85,206,0.6438,0.8495,114,0.6614,0.8545,0.8626
