n,n_positive,prevalence,auc,accuracy,sensitivity,specificity,subgroup,category
320,155,0.484375,0.8566177908113392,0.80625,0.7870967741935484,0.8242424242424242,Overall,All
175,70,0.4,0.7840816326530613,0.7485714285714286,0.6285714285714286,0.8285714285714286,CN,Cognitive Status
117,61,0.5213675213675214,0.9022248243559718,0.8632478632478633,0.9016393442622951,0.8214285714285714,MCI,Cognitive Status
28,24,0.8571428571428571,0.8541666666666667,0.9285714285714286,0.9583333333333334,0.75,Dementia,Cognitive Status
113,81,0.7168141592920354,0.898533950617284,0.8495575221238938,0.8888888888888888,0.75,APOE4 carrier,APOE4 Status
177,66,0.3728813559322034,0.7911547911547911,0.7796610169491526,0.6818181818181818,0.8378378378378378,APOE4 non-carrier,APOE4 Status
152,77,0.506578947368421,0.8171428571428571,0.7894736842105263,0.7272727272727273,0.8533333333333334,Female,Sex
168,78,0.4642857142857143,0.9038461538461539,0.8214285714285714,0.8461538461538461,0.8,Male,Sex
108,40,0.37037037037037035,0.8908088235294118,0.8518518518518519,0.75,0.9117647058823529,Young tertile (≤70 / ≤75 / >75),Age Tertile
105,53,0.5047619047619047,0.8461538461538461,0.780952380952381,0.7735849056603774,0.7884615384615384,Middle tertile (≤70 / ≤75 / >75),Age Tertile
107,62,0.5794392523364486,0.8197132616487455,0.7850467289719626,0.8225806451612904,0.7333333333333333,Old tertile (≤70 / ≤75 / >75),Age Tertile
